Timestamp,Raw,Voltage
2025-09-22 00:37:33.178982,442,0.36
2025-09-22 00:37:33.279332,499,0.4
2025-09-22 00:37:33.379121,304,0.24
2025-09-22 00:37:33.479248,235,0.19
2025-09-22 00:37:33.579316,198,0.16
2025-09-22 00:37:33.679255,176,0.14
2025-09-22 00:37:33.779190,256,0.21
2025-09-22 00:37:33.879107,140,0.11
2025-09-22 00:37:33.979246,151,0.12
2025-09-22 00:37:34.079122,298,0.24
2025-09-22 00:37:34.179223,176,0.14
2025-09-22 00:37:34.278206,99,0.08
2025-09-22 00:37:34.379325,397,0.32
2025-09-22 00:37:34.478186,73,0.06
2025-09-22 00:37:34.579237,217,0.17
2025-09-22 00:37:34.679133,169,0.14
2025-09-22 00:37:34.779113,140,0.11
2025-09-22 00:37:34.879298,113,0.09
2025-09-22 00:37:34.980242,1633,1.32
2025-09-22 00:37:35.080404,1041,0.84
2025-09-22 00:37:35.179179,233,0.19
2025-09-22 00:37:35.279318,817,0.66
2025-09-22 00:37:35.379261,278,0.22
2025-09-22 00:37:35.479200,602,0.49
2025-09-22 00:37:35.579322,903,0.73
2025-09-22 00:37:35.680348,2307,1.86
2025-09-22 00:37:35.779219,374,0.3
2025-09-22 00:37:35.879179,240,0.19
2025-09-22 00:37:35.979163,178,0.14
2025-09-22 00:37:36.079323,327,0.26
2025-09-22 00:37:36.178173,53,0.04
2025-09-22 00:37:36.279137,112,0.09
2025-09-22 00:37:36.379189,433,0.35
2025-09-22 00:37:36.479103,277,0.22
2025-09-22 00:37:36.579138,240,0.19
2025-09-22 00:37:36.679253,853,0.69
2025-09-22 00:37:36.779295,270,0.22
2025-09-22 00:37:36.879314,463,0.37
2025-09-22 00:37:36.978098,64,0.05
2025-09-22 00:37:37.079107,211,0.17
2025-09-22 00:37:37.179452,354,0.29
2025-09-22 00:37:37.279250,190,0.15
2025-09-22 00:37:37.379105,110,0.09
2025-09-22 00:37:37.477051,0,0.0
2025-09-22 00:37:37.579142,375,0.3
2025-09-22 00:37:37.679135,257,0.21
2025-09-22 00:37:37.779112,432,0.35
2025-09-22 00:37:37.879111,161,0.13
2025-09-22 00:37:37.979108,464,0.37
2025-09-22 00:37:38.078166,50,0.04
